t,n_grads,f,f_avg,trans_bits,train_accuracy,test_accuracy,comm_rounds,var_error
74.0,0.0,5.267508351450164,390.9229478519396,56832.0,0.6314207650273224,0.6395222584147665,148.0,3.5952786355929733
75.0,0.0,5.227167817420906,393.1522247611962,57600.0,0.6396174863387978,0.6449511400651465,150.0,3.5998120309324486
76.0,0.0,5.187573661919474,395.3589718505639,58368.0,0.6442622950819672,0.6427795874049945,152.0,3.6044315907141633
77.0,0.0,5.14873393449379,397.5460540614797,59136.0,0.65,0.6547231270358306,154.0,3.609140546858949
78.0,0.0,5.110656217279023,399.7163158340478,59904.0,0.6562841530054645,0.6601520086862106,156.0,3.6139439716928674
79.0,0.0,5.0733474116032165,401.8725751992604,60672.0,0.6633879781420765,0.6688382193268186,158.0,3.6188342236558633
80.0,0.0,5.036813618200575,404.0176037128316,61440.0,0.666120218579235,0.6699239956568946,160.0,3.62380918747981
81.0,0.0,5.0010603576047705,406.15417421914117,62208.0,0.666120218579235,0.6655808903365906,162.0,3.6288719256192015
82.0,0.0,4.966092644832115,408.2850195333258,62976.0,0.666120218579235,0.6666666666666666,164.0,3.634021485779157
83.0,0.0,4.931914755566136,410.4128298906527,63744.0,0.6628415300546449,0.6644951140065146,166.0,3.6392526126883356
84.0,0.0,4.898530339548138,412.54026715343446,64512.0,0.6622950819672131,0.6688382193268186,168.0,3.6445728171639358
85.0,0.0,4.865942432828249,414.6699464273679,65280.0,0.6644808743169399,0.6634093376764386,170.0,3.649976597835462
86.0,0.0,4.834153438678387,416.80444502531464,66048.0,0.6740437158469945,0.6568946796959826,172.0,3.655464026351103
87.0,0.0,4.803165209411276,418.9463014122474,66816.0,0.6759562841530055,0.6612377850162866,174.0,3.6610368024079323
88.0,0.0,4.772979031014515,421.0980080463072,67584.0,0.6773224043715848,0.6558089033659066,176.0,3.6666936687135996
89.0,0.0,4.74359559621544,423.26200808004114,68352.0,0.6762295081967213,0.6514657980456026,178.0,3.6724340412765
90.0,0.0,4.715015030154266,425.44069734772677,69120.0,0.674863387978142,0.6568946796959826,180.0,3.6782579859838505
91.0,0.0,4.687236907286632,427.6364197784402,69888.0,0.6734972677595629,0.6568946796959826,182.0,3.6841628372228805
92.0,0.0,4.660260269236662,429.8514697611057,70656.0,0.6710382513661202,0.6568946796959826,184.0,3.690149964820193
93.0,0.0,4.634083749880395,432.08810771664764,71424.0,0.66775956284153,0.6579804560260586,186.0,3.6962239473326264
94.0,0.0,4.608705475486432,434.34852167480165,72192.0,0.666120218579235,0.6568946796959826,188.0,3.702379524228248
95.0,0.0,4.584122971215059,436.63484285605955,72960.0,0.6647540983606557,0.6568946796959826,190.0,3.708614733017804
96.0,0.0,4.560333355199383,438.94916134222194,73728.0,0.662568306010929,0.6558089033659066,192.0,3.714927799754518
97.0,0.0,4.537333459478546,441.293529796616,74496.0,0.6601092896174864,0.6471226927252985,194.0,3.721321961809758
98.0,0.0,4.515119733612853,443.66993799150316,75264.0,0.6595628415300546,0.6460369163952225,196.0,3.7277993392800517
99.0,0.0,4.49368811076429,446.0803079398262,76032.0,0.6576502732240437,0.6438653637350705,198.0,3.7343566394253065
100.0,0.0,4.4730342136239445,448.5265347849627,76800.0,0.6560109289617486,0.6438653637350705,200.0,3.740995530925193
